Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,detalles_limpios,tokenizacion,lematizacion,stemming
5/9/2025 14:57:31,Felicitación,Laboratorio ,Préstamo lab,Buenas maquinas ,Unidad de Informática,Unidad de Informática,maquinas,['maquinas'],maquina,maquin
5/9/2025 14:58:42,Felicitación,Tutorías,Ni hay,Felitqcion,,Departamento de evaluación y seguimiento académico,felitqcion,['felitqcion'],felitqcion,felitqcion
5/20/2025 14:53:17,Felicitación,Préstamo de laboratorio,Préstamo de laboratorio ,Buenas maquinas y conexion a internet ,Unidad de Informática,Unidad de Informática,maquinas conexion internet,"['maquinas', 'conexion', 'internet']",maquina conexion internet,maquin conexion internet
5/21/2025 12:11:13,Felicitación,Planeación Didáctica,Computadora ,Buena coordinación ,Unidad de Informática,Unidad de Informática,coordinacion,['coordinacion'],coordinacion,coordin
5/21/2025 12:11:26,Felicitación,Préstamo de computo ,Todo good,Felicidades ,Unidad de Informática,Unidad de Informática,felicidades,['felicidades'],felicidad,felic
5/21/2025 12:12:07,Felicitación,Computadora ,Solicitación de computadora ,Felicitaciones ,Unidad de Informática,Unidad de Informática,felicitaciones,['felicitaciones'],felicitación,felicit
5/27/2025 13:34:31,Felicitación,Servicios Bibliotecarios,Laboratorio ,Equipo funcional ,Unidad Politécnica de Integración Social,Departamento de Servicios Estudiantiles,equipo funcional,"['equipo', 'funcional']",equipo funcional,equip funcional
8/25/2025 11:36:20,Sugerencia,Actividades Culturales y/o Deportivas,Gimnasio al aire libre ,Que no sea al aire libre,Unidad de Tecnología Educativa y Campus Virtual,Actividades Culturales y/o Deportivas,aire libre,"['aire', 'libre']",aire libre,air libr
8/25/2025 11:35:30,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Cambio de salones ,El cambio de salones que hicieron está horrible ,Dirección,Departamento de Evaluación y Seguimiento Académico,cambio salones horrible,"['cambio', 'salones', 'horrible']",cambio salón horrible,cambi salon horribl
8/25/2025 11:36:20,Sugerencia,Logística en distribución de salones,Distribución de salones,La distribución de salones de este semestre es confusa,Dirección,Departamento de Evaluación y Seguimiento Académico,distribucion salones semestre confusa,"['distribucion', 'salones', 'semestre', 'confusa']",distribucion salón semestre confuso,distribucion salon semestr confus
8/25/2025 11:36:32,Queja,Gestión del Diseño Curricular de Programas Académicos,Cambio de salones ,"Muy mal cambio, innecesario andar buscando salones en otros edificios y moviéndose de pisos ",Departamento de Extensión y Apoyos Educativos,Departamento de Evaluación y Seguimiento Académico,mal cambio innecesario andar buscando salones edificios moviendose pisos,"['mal', 'cambio', 'innecesario', 'andar', 'buscando', 'salones', 'edificios', 'moviendose', 'pisos']",cambio innecesario andar buscar salón edificio mover él piso,mal cambi innecesari andar busc salon edifici mov pis
8/26/2025 11:25:50,Sugerencia,Revisión de actividades,Acudí para la revisión de mi evaluación y se me dificultó encontrar al profesor,Facilitar la información sobre qué cubículos están asignados y a qué profesor pertenece cada cubículo,Departamento de Formación Básica,Departamento de Evaluación y Seguimiento Académico,facilitar informacion cubiculos asignados profesor pertenece cubiculo,"['facilitar', 'informacion', 'cubiculos', 'asignados', 'profesor', 'pertenece', 'cubiculo']",facilitar informacion cubiculo asignar profesor pertenecer cubiculo,facilit inform cubicul asign profesor pertenec cubicul
8/26/2025 13:29:15,Queja,Gestión de la Encuesta del Desempeño Docente,Evaluación Docente,"No parece haber un interés en las encuestas, se sabe de profesores que no enseñan bien o que de plano no enseñan y pese a las múltiples encuestas, la escuela sigue asignándoles muchos grupos. ",Departamento de Gestión Escolar,Departamento de Evaluación y Seguimiento Académico,interes encuestas profesores enseñan plano enseñan pese multiples encuestas escuela asignandoles grupos,"['interes', 'encuestas', 'profesores', 'enseñan', 'plano', 'enseñan', 'pese', 'multiples', 'encuestas', 'escuela', 'asignandoles', 'grupos']",inter encuesta profesor enseñar plano enseñar pese multiples encuesta escuela asignandol grupo,inter encuest profesor enseñ plan enseñ pes multipl encuest escuel asign grup
8/25/2025 11:33:05,Felicitación,Gestión de la Titulación Profesional,Procedimiento eficiente ,Felicitación por la facilitación del proceso y eficiencia,Subdirección de Servicios Educativos e Integración Social,Departamento de Extensión y Apoyos Educativos,felicitacion facilitacion proceso eficiencia,"['felicitacion', 'facilitacion', 'proceso', 'eficiencia']",felicitacion facilitacion proceso eficiencia,felicit facilit proces eficient
8/26/2025 11:22:24,Sugerencia,Apoyo extraordinario,Tiempo del apoyo,Finalizó el semestre y no habían realizado la dispersión de fondos ,Departamento de Extensión y Apoyos Educativos,Departamento de Extensión y Apoyos Educativos,finalizo semestre habian dispersion fondos,"['finalizo', 'semestre', 'habian', 'dispersion', 'fondos']",finalizo semestre habian dispersion fondo,finaliz semestr habi dispersion fond
8/26/2025 11:23:27,Sugerencia,Apoyo extraordinario,Apoyo extraordinario ,Dispersión de apoyo extraordinario despues del terminal el ciclo escolar,Departamento de Extensión y Apoyos Educativos,Departamento de Extensión y Apoyos Educativos,dispersion apoyo extraordinario despues terminal ciclo escolar,"['dispersion', 'apoyo', 'extraordinario', 'despues', 'terminal', 'ciclo', 'escolar']",dispersion apoyo extraordinario terminal ciclo escolar,dispersion apoy extraordinari despu terminal cicl escol
8/25/2025 11:38:08,Felicitación,Servicio Social,inscripción como tutor en el taller de nivelación,"El proceso fue llevado a cabo de manera práctica y eficiente. La descripción del taller por parte de la profesora Elsa fue muy clara, en general ya hecho un excelente trabajo desde que se le asignó la jefatura de formación básica ",Departamento de Formación Básica,Departamento de Formación Básica,proceso llevado cabo practica eficiente descripcion taller profesora elsa clara general excelente asigno jefatura formacion basica,"['proceso', 'llevado', 'cabo', 'practica', 'eficiente', 'descripcion', 'taller', 'profesora', 'elsa', 'clara', 'general', 'excelente', 'asigno', 'jefatura', 'formacion', 'basica']",proceso llevar cabo practicar eficiente descripcion taller profesorar elsar claro general excelente asigno jefatura formacion basico,proces llev cab practic eficient descripcion tall profesor elsa clar general excelent asign jefatur formacion basic
8/26/2025 11:22:07,Felicitación,Control de Información Documentada,TT ,Buen servicio ,Departamento de Formación Integral e Institucional (La CATT es parte de este Depto.),Departamento de Formación Integral e Institucional (La CATT es parte de este Depto.),servicio,['servicio'],servicio,servici
6/25/2025 13:00:20,Felicitación,Gestión de la Acreditación de Programas Académicos,Nada,Encuesta equivocada ,Departamento de Gestión Escolar,Departamento de Gestión Escolar,encuesta equivocada,"['encuesta', 'equivocada']",encuesta equivocar,encuest equivoc
7/3/2025 18:55:38,Felicitación,Dictamen de baja por cambio de carrera,Dictamen de baja por cambio de carrera y dictamen de cambio de carrera a escom,"QUIERO FELICITAR A YADHIRA DE GESTION ESCOLAT AUE EL DIA DE HOY ME ATENDIO EN LA VENTANILLA Y FUE MUY AMABLE Y ATENTA, ME SOLUCIONO MI SOLICITUD CON UNA EXCELENTE ACTITUD. ENHORABUENA, DESEO QUE LOS DEMAS ADMINISTRATIVOS ME ATENDIESEN COMO ELLA LO HIZO",Departamento de Gestión Escolar,Departamento de Gestión Escolar,quiero felicitar yadhira gestion escolat aue dia atendio ventanilla amable atenta soluciono solicitud excelente actitud enhorabuena deseo demas administrativos atendiesen,"['quiero', 'felicitar', 'yadhira', 'gestion', 'escolat', 'aue', 'dia', 'atendio', 'ventanilla', 'amable', 'atenta', 'soluciono', 'solicitud', 'excelente', 'actitud', 'enhorabuena', 'deseo', 'demas', 'administrativos', 'atendiesen']",querer felicitar yadhira gestion escolat aue atendio ventanilla amable atentar soluciono solicitud excelente actitud enhorabuena desear demas administrativo atender,quier felicit yadhir gestion escolat aue dia atendi ventanill amabl atent solucion solicitud excelent actitud enhorabuen dese dem administr atend
8/25/2025 11:32:08,Felicitación,Reinscripción,Apoyo de reinscripcion ,Todo muy bien ,Departamento de Gestión Escolar,Departamento de Gestión Escolar,,[],,
8/25/2025 11:33:43,Felicitación,Reinscripción,Apoyo en la reinscripción de materias,Servicio rápido y atento,Departamento de Gestión Escolar,Departamento de Gestión Escolar,servicio rapido atento,"['servicio', 'rapido', 'atento']",servicio rapir atento,servici rap atent
8/25/2025 11:35:09,Felicitación,Reinscripción,Información sobre información de desfase ,Felicitacion buena información ,Departamento de Gestión Escolar,Departamento de Gestión Escolar,felicitacion informacion,"['felicitacion', 'informacion']",felicitacion informacion,felicit inform
8/25/2025 11:38:52,Felicitación,Inscripción,Inscripción,Muy buena la administración ,Unidad de Tecnología Educativa y Campus Virtual,Departamento de Gestión Escolar,administracion,['administracion'],administracion,administr
8/25/2025 11:41:27,Sugerencia,Reinscripción,Cupos,Pongan más cupos para los regulares,Departamento de Gestión Escolar,Departamento de Gestión Escolar,pongan mas cupos regulares,"['pongan', 'mas', 'cupos', 'regulares']",poner cupo regular,pong mas cup regular
8/25/2025 11:41:58,Queja,Inscripción,Inscribirme ,Errores masivos para inscripción ,Departamento de Gestión Escolar,Departamento de Gestión Escolar,errores masivos inscripcion,"['errores', 'masivos', 'inscripcion']",error masivo inscripcion,error masiv inscripcion
8/25/2025 11:42:06,Queja,Trámite de Documentos de Gestión Escolar,Los trámites de constancias son muy lentos,Queja,Unidad de Tecnología Educativa y Campus Virtual,Departamento de Gestión Escolar,queja,['queja'],queja,quej
8/26/2025 11:14:37,Sugerencia,Reinscripción,reinscripción,Hay problemas de horario al momento de la reinscripción,Departamento de Gestión Escolar,Departamento de Gestión Escolar,problemas horario reinscripcion,"['problemas', 'horario', 'reinscripcion']",problema horario reinscripcion,problem horari reinscripcion
8/26/2025 11:24:59,Sugerencia,Trámite de Documentos de Gestión Escolar,Constancia de inscripción y constancia de estudios ,"Pedí constancia de estudios y de inscripción, y no me deja bajarlas del Saes ",Departamento de Gestión Escolar,Departamento de Gestión Escolar,pedi constancia estudios inscripcion deja bajarlas saes,"['pedi', 'constancia', 'estudios', 'inscripcion', 'deja', 'bajarlas', 'saes']",pedi constancia estudio inscripcion dejar bajarla saes,pedi constanci estudi inscripcion dej baj saes
8/26/2025 11:54:09,Sugerencia,Reinscripción,Inscripción de unidades de aprendizaje ,Deberían de verificar el sistema de citas ya que tuve un problema con mi reinscripción y no perdí cupo en una materia ,Subdirección Académica,Departamento de Gestión Escolar,deberian verificar sistema citas problema reinscripcion perdi cupo materia,"['deberian', 'verificar', 'sistema', 'citas', 'problema', 'reinscripcion', 'perdi', 'cupo', 'materia']",deberian verificar sistema cita problema reinscripcion perdi cupo materia,deberi verific sistem cit problem reinscripcion perdi cup materi
8/26/2025 16:20:00,Felicitación,Trámite de Documentos de Gestión Escolar,Pedir el FUA,"Fue muy rápido el proceso y fue amable la persona que me atendió, incluso me ayudó ya que no tenía tanto tiempo para entregar el FUA",Departamento de Gestión Escolar,Departamento de Gestión Escolar,rapido proceso amable persona atendio ayudo tenia entregar fua,"['rapido', 'proceso', 'amable', 'persona', 'atendio', 'ayudo', 'tenia', 'entregar', 'fua']",rapir proceso amable persona atendio ayudo tenia entregar fua,rap proces amabl person atendi ayud teni entreg fua
8/26/2025 18:21:56,Queja,Trámite de Documentos de Gestión Escolar,Constancia de estudios para refrendo de beca,El que me atendió en gestión escolar se portó de manera grosera e incompetente tomando como prioridad su superioridad,Subdirección Académica,Departamento de Gestión Escolar,atendio gestion escolar porto grosera incompetente tomando prioridad superioridad,"['atendio', 'gestion', 'escolar', 'porto', 'grosera', 'incompetente', 'tomando', 'prioridad', 'superioridad']",atendio gestion escolar porto grosero incompetente tomar prioridad superioridad,atendi gestion escol port groser incompetent tom priorid superior
7/11/2025 18:06:07,Felicitación,Gestión de la Movilidad Académica,"Seguimiento de llenado de nuestros documentos faltantes para realizar una correcta movilidad académica, en nuestro caso PROMAN. De modo que nos brindó su apoyo para saber qué materias son revalidables en este procedimiento. Además de darnos consejos y solución a dudas propuestas de este mismo procedimiento.","Mucha paciencia y atención increíble por su parte, quedó muy agradecido con el Maestro Efrén!",Departamento de Innovación Educativa,Departamento de Innovación Educativa,paciencia atencion increible quedo agradecido maestro efren,"['paciencia', 'atencion', 'increible', 'quedo', 'agradecido', 'maestro', 'efren']",paciencia atencion increible quedo agradecido maestro efren,pacienci atencion increibl qued agradec maestr efren
8/25/2025 11:35:47,Felicitación,Gestión del Diseño de Programas de Estudio,Muy bien logrado el diseño de programas de estudio,Pienso que está muy bien el diseño de programas,Dirección,Departamento de Innovación Educativa,pienso diseño programas,"['pienso', 'diseño', 'programas']",pensar diseño programa,piens diseñ program
8/25/2025 11:31:38,Felicitación,Planeación Didáctica,Administración Financiera,Mosso es bastante atento,Dirección,Dirección,mosso atento,"['mosso', 'atento']",mosso atento,moss atent
8/25/2025 11:35:17,Felicitación,Por un buen trabajo,Ayuda general,Muy buen trabajo,Dirección,Dirección,,[],,
8/25/2025 11:42:11,Sugerencia,Ate   nción ,Atención Escolar ,Consultoria mejor guiada a los estudiantes para ser participe en las elecciones escolares ,Unidad de Tecnología Educativa y Campus Virtual,Dirección,consultoria guiada estudiantes participe elecciones escolares,"['consultoria', 'guiada', 'estudiantes', 'participe', 'elecciones', 'escolares']",consultoria guiada estudiante participe elección escolar,consultori gui estudi particip eleccion escolar
8/25/2025 18:34:53,Sugerencia,Trámite de Documentos de Gestión Escolar,Cambio de carrera,Mi felicitacion es al profesor mosso que cuando tuve problemas con mi papeleo en el cambio de carrera me ayudo a completar este procedimiento.,Dirección,Dirección,felicitacion profesor mosso problemas papeleo cambio carrera ayudo completar procedimiento,"['felicitacion', 'profesor', 'mosso', 'problemas', 'papeleo', 'cambio', 'carrera', 'ayudo', 'completar', 'procedimiento']",felicitacion profesor mosso problema papeleo cambio carrera ayudo completar procedimiento,felicit profesor moss problem papele cambi carrer ayud complet proced
8/27/2025 10:11:37,Felicitación,Gestión del Diseño Curricular de Programas Académicos,. ,.,Dirección,Dirección,,[],,
8/25/2025 11:35:30,Sugerencia,Adjudicación Directa de Materiales y/o Servicios,-,Poner cortinas en otros salones,Subdirección Administrativa,Recursos Materiales y Servicios Generales,cortinas salones,"['cortinas', 'salones']",cortina salón,cortin salon
8/25/2025 11:36:55,Felicitación,Mantenimiento de la Infraestructura Física,Actividad,Las instalaciones están muy bien cuidadas,Unidad de Tecnología Educativa y Campus Virtual,Recursos Materiales y Servicios Generales,instalaciones cuidadas,"['instalaciones', 'cuidadas']",instalación cuidado,instal cuid
8/26/2025 11:23:05,Sugerencia,Reinscripción,Inscribir materias,"Siento que sería buena idea que dejaran inscribir materias del semestre en el que estás, es dexir aunque estes cursando materias dejaran 5to te dejaran meter de 8vo si ese es tu semestre (pero solo cuando sea una materia del semestre más bajo) ",Departamento de Gestión Escolar,Subdirección Académica,siento seria idea dejaran inscribir materias semestre dexir estes cursando materias dejaran 5to dejaran meter 8vo semestre materia semestre mas,"['siento', 'seria', 'idea', 'dejaran', 'inscribir', 'materias', 'semestre', 'dexir', 'estes', 'cursando', 'materias', 'dejaran', '5to', 'dejaran', 'meter', '8vo', 'semestre', 'materia', 'semestre', 'mas']",sentir serio idea dejar inscribir materia semestre dexir estes cursar materia dejar 5to dejar meter 8vo semestre materia semestre,sient seri ide dej inscrib materi semestr dex estes curs materi dej 5to dej met 8vo semestr materi semestr mas
8/26/2025 11:23:23,Sugerencia,Reinscripción,Pocos grupos para IA a partir de tercer semestre,"Muchos de mis compañeros luego se quedan sin grupo a pesar de que tienen un promedio arriba de 8, porque se acaban muy rapido los pocos lugares, más en la mañana ya que hay ciertos compañeros que no tienen la posibilidad de ir en la tarde por sus trabajos.

También siempre que nos reinscribimos aparecen varios profesor como ""sin asignar"" al momento de hacer nuestro horario.",Subdirección Académica,Subdirección Académica,compañeros quedan grupo promedio 8 acaban rapido lugares mas mañana compañeros posibilidad tarde trabajos tambien reinscribimos aparecen profesor asignar horario,"['compañeros', 'quedan', 'grupo', 'promedio', '8', 'acaban', 'rapido', 'lugares', 'mas', 'mañana', 'compañeros', 'posibilidad', 'tarde', 'trabajos', 'tambien', 'reinscribimos', 'aparecen', 'profesor', 'asignar', 'horario']",compañero quedar grupo promedio 8 acabar rapir lugar mañana compañero posibilidad trabajo reinscribir aparecer profesor asignar horario,compañer qued grup promedi 8 acab rap lugar mas mañan compañer posibil tard trabaj tambi reinscrib aparec profesor asign horari
8/26/2025 21:06:11,Queja,Gestión del Diseño de Programas de Estudio,Actividad,deben de haber más grupos y opciones para ia y lcd,Unidad de Tecnología Educativa y Campus Virtual,Subdirección Académica,mas grupos opciones ia lcd,"['mas', 'grupos', 'opciones', 'ia', 'lcd']",grupo opción ia lcd,mas grup opcion ia lcd
8/26/2025 11:23:02,Queja,Cafeterías ,Cafeterías de la escuela ,"Queja sobre las cafeterías que no ofrecen buenos productos ni alimentos, por lo que muchos optan por comida fuera más costosa, me gustaría que se pudiera armar como en otras escuelas un comedor comunitario? No sé si sea el nombre pero para que tengan buena comida y a precio accesible únicamente para estudiantes o que se de un descuento por estudiante ",Unidad de Tecnología Educativa y Campus Virtual,Subdirección Administrativa,queja cafeterias ofrecen productos alimentos optan comida mas costosa gustaria pudiera armar escuelas comedor comunitario nombre comida precio accesible unicamente estudiantes descuento estudiante,"['queja', 'cafeterias', 'ofrecen', 'productos', 'alimentos', 'optan', 'comida', 'mas', 'costosa', 'gustaria', 'pudiera', 'armar', 'escuelas', 'comedor', 'comunitario', 'nombre', 'comida', 'precio', 'accesible', 'unicamente', 'estudiantes', 'descuento', 'estudiante']",queja cafeterias ofrecer producto alimento optar comida costoso gustario poder armar escuela comedor comunitario nombre comida precio accesible unicamente estudiante descuento estudiante,quej cafeteri ofrec product aliment optan com mas costos gustari pud armar escuel comedor comunitari nombr com preci acces unic estudi descuent estudi
6/5/2025 12:05:11,Felicitación,Servicios Bibliotecarios,Ninguno ,Ninguna ,Unidad de Informática,UDI,,[],,
6/12/2025 13:33:51,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo  de cómputo en buen estado ,Se me atendió de la mejor manera ,Unidad de Informática,UDI,atendio,['atendio'],atendio,atendi
6/13/2025 12:02:35,Felicitación,Préstamo de Equipo Informático,Conputadora,Buena atención,Unidad de Informática,UDI,atencion,['atencion'],atencion,atencion
6/13/2025 12:02:42,Felicitación,Préstamo de equipo informatico,Uso de equipo informatico,Todo bien,Departamento de Servicios Estudiantiles,UDI,,[],,
6/13/2025 13:21:15,Felicitación,Computadoras ,Préstamo ,Todo bien,Unidad de Informática,UDI,,[],,
6/20/2025 13:28:28,Sugerencia,Gestión del Diseño de Programas de Estudio,Computadora,Agregar más programas ,Departamento de Formación Básica,UDI,agregar mas programas,"['agregar', 'mas', 'programas']",agregar programa,agreg mas program
6/25/2025 13:01:16,Felicitación,Préstamo de Equipo Informático,Buenos ,"Felicitacion, atienden bien ",Unidad de Informática,UDI,felicitacion atienden,"['felicitacion', 'atienden']",felicitacion atender,felicit atiend
6/25/2025 13:36:06,Felicitación,Control de Información Documentada,….,Ninguna ,Unidad de Informática,UDI,,[],,
7/2/2025 11:09:52,Felicitación,Préstamo de Equipo Informático,Uso de equipo,Muy buena atención ,Unidad de Informática,UDI,atencion,['atencion'],atencion,atencion
7/2/2025 14:14:09,Felicitación,Prácticas Académicas de Laboratorios y Talleres,Uso de computo ,Todo bien ,Departamento de Extensión y Apoyos Educativos,UDI,,[],,
7/18/2025 13:20:02,Felicitación,Préstamo de Equipo Informático,Préstamo de computadora ,Muy buen trato ,Unidad de Informática,UDI,trato,['trato'],trato,trat
7/18/2025 13:20:33,Felicitación,Préstamo de Equipo Informático,Equipo de uso libre ,"Ninguna, muchas gracias ",Unidad de Informática,UDI,gracias,['gracias'],gracias,graci
8/25/2025 11:38:12,Sugerencia,Mantenimiento de la Infraestructura Física,Mantenimiento de contactos de luz,Hay algunos contactos de luz en el edificio de IA que no sirven o que tienen falso contacto ,Unidad de Informática,UDI,contactos luz edificio ia sirven falso contacto,"['contactos', 'luz', 'edificio', 'ia', 'sirven', 'falso', 'contacto']",contacto luz edificio ia servir falso contacto,contact luz edifici ia sirv fals contact
8/25/2025 11:39:00,Sugerencia,Adjudicación Directa de Materiales y/o Servicios,Internet ,Mejorar los servicios de internet sobre todo en los salones de abajo ,Subdirección Administrativa,UDI,mejorar servicios internet salones abajo,"['mejorar', 'servicios', 'internet', 'salones', 'abajo']",mejorar servicio internet salón abajo,mejor servici internet salon abaj
8/25/2025 11:39:34,Sugerencia,Mantenimiento de la Infraestructura Física,Los servicios de Internet son deficientes ,Queja ,Unidad de Tecnología Educativa y Campus Virtual,UDI,queja,['queja'],queja,quej
8/25/2025 21:36:25,Felicitación,Préstamo de Equipo Informático,Uso libre de computadoras ,Buena actitud y disponibilidad todas las veces que he ido.,Unidad de Informática,UDI,actitud disponibilidad ido,"['actitud', 'disponibilidad', 'ido']",actitud disponibilidad ir,actitud disponibil ido
8/26/2025 10:05:46,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo ,"Buena actitud, siempre tienen buena actitud ",Unidad de Informática,UDI,actitud actitud,"['actitud', 'actitud']",actitud actitud,actitud actitud
8/26/2025 11:20:08,Queja,Mantenimiento de la Infraestructura Física,WiFi que no funciona en palapas de IA y todo el edificio 4,"No funciona nada bien el WiFi de las palapas de IA, urge lo reparen ya que se ocupa para hacer tareas, trabajos y demás en clases libres ademas que cuando estamos en clases en el edificio 4 no hay internet, no es posible que siendo una de las mejores escuelas de cómputo no tengamos acceso a internet es esa zona que es para trabajar.",Unidad de Informática,UDI,funciona wifi palapas ia urge reparen ocupa tareas trabajos demas clases libres ademas clases edificio 4 internet mejores escuelas computo acceso internet zona,"['funciona', 'wifi', 'palapas', 'ia', 'urge', 'reparen', 'ocupa', 'tareas', 'trabajos', 'demas', 'clases', 'libres', 'ademas', 'clases', 'edificio', '4', 'internet', 'mejores', 'escuelas', 'computo', 'acceso', 'internet', 'zona']",funcionar wifi palapa ia urge reparar ocupar tarea trabajo demas clase libre clase edificio 4 internet mejor escuela computo acceso internet zona,funcion wifi palap ia urge repar ocup tar trabaj dem clas libr adem clas edifici 4 internet mejor escuel comput acces internet zon
8/26/2025 11:23:41,Queja,Ninguno,Internet,"Específicamente en el edificio de IA la red de internet es muy deficiente, muchas veces hemos tenido la necesidad de este y no nos es posible.",Unidad de Informática,UDI,especificamente edificio ia red internet deficiente necesidad,"['especificamente', 'edificio', 'ia', 'red', 'internet', 'deficiente', 'necesidad']",especificamente edificio ia red internet deficiente necesidad,especif edifici ia red internet deficient neces
8/26/2025 11:24:59,Sugerencia,Funcionamiento de la red de internet en la escuela ,Intermitencia en el servicio de internet ,"El servicio de internet es intermitente, no es constante y en ocasiones no funciona como debería ",Unidad de Informática,UDI,servicio internet intermitente constante ocasiones funciona deberia,"['servicio', 'internet', 'intermitente', 'constante', 'ocasiones', 'funciona', 'deberia']",servicio internet intermitente constante ocasión funcionar deberio,servici internet intermitent constant ocasion funcion deberi
8/27/2025 6:41:14,Sugerencia,Mantenimiento de la Infraestructura Física,Internet general,"Me gustaría sugerir que ya que el Poli tiene contratado un buen internet, pero le cuesta servirlo a la comunidad de manea eficiente. He observado que una de las maneras más prácticas es distribuirlo de manera más uniforme, es decir, tener más módems a los que conectarnos, esto evita la saturación y mejora la calidad en horas pico. Lo ideal sería uno por salón con WiFi 6, pero ya dependería del presupuesto. Realmente el problema es que no de puede usar cuando se necesita, cuando hay muchos conectados y no se puede gestionar tantas peticiones a la vez, e incluso la cobertura falla en algunos salones de IA del 1er piso. Siento que si no se puede cambiar el sistema a uno como la UNAM por lo menos se puede resolver así.",Unidad de Informática,UDI,gustaria sugerir poli contratado internet cuesta servirlo comunidad manea eficiente observado maneras mas practicas distribuirlo mas uniforme mas modems conectarnos evita saturacion mejora calidad horas pico ideal seria salon wifi 6 dependeria presupuesto realmente problema necesita conectados gestionar tantas peticiones cobertura falla salones ia 1er piso siento cambiar sistema unam resolver asi,"['gustaria', 'sugerir', 'poli', 'contratado', 'internet', 'cuesta', 'servirlo', 'comunidad', 'manea', 'eficiente', 'observado', 'maneras', 'mas', 'practicas', 'distribuirlo', 'mas', 'uniforme', 'mas', 'modems', 'conectarnos', 'evita', 'saturacion', 'mejora', 'calidad', 'horas', 'pico', 'ideal', 'seria', 'salon', 'wifi', '6', 'dependeria', 'presupuesto', 'realmente', 'problema', 'necesita', 'conectados', 'gestionar', 'tantas', 'peticiones', 'cobertura', 'falla', 'salones', 'ia', '1er', 'piso', 'siento', 'cambiar', 'sistema', 'unam', 'resolver', 'asi']",gustario sugerir poli contratar internet costar servir él comunidad maneo eficiente observar manera practica distribuir él uniforme modems conectarno evitar saturacion mejora calidad horas pico ideal serio salon wifi 6 dependerio presupuesto realmente problema necesitar conectado gestionar tanto petición cobertura falla salón ia 1er piso sentir cambiar sistema unam resolver,gustari suger poli contrat internet cuest serv comun mane eficient observ maner mas practic distribu mas uniform mas modems conect evit satur mejor calid hor pic ideal seri salon wifi 6 dependeri presupuest realment problem necesit conect gestion tant peticion cobertur fall salon ia 1er pis sient cambi sistem unam resolv asi
8/27/2025 10:31:27,Felicitación,Préstamo de Equipo Informático,Buen servicio ,Acceso rápido ,Unidad de Informática,UDI,acceso rapido,"['acceso', 'rapido']",acceso rapir,acces rap
8/27/2025 11:52:19,Felicitación,Prácticas Académicas de Laboratorios y Talleres,I,Todo bien ,Unidad de Informática,UDI,,[],,
8/27/2025 12:58:53,Felicitación,Préstamo de Equipo Informático,Laboratorio dd uso libre,Buena atención ,Unidad de Informática,UDI,atencion,['atencion'],atencion,atencion
8/27/2025 13:28:01,Felicitación,Préstamo de Equipo Informático,Prestar computadora 1,"Buen servicio, muy amables.",Unidad de Informática,UDI,servicio amables,"['servicio', 'amables']",servicio amable,servici amabl
8/27/2025 14:46:02,Felicitación,Préstamo de Equipo Informático,Muy bien ,Todo bien ,Unidad de Informática,UDI,,[],,
8/29/2025 16:20:03,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo informático ,Buen servicio sin problemas,Unidad de Informática,UDI,servicio problemas,"['servicio', 'problemas']",servicio problema,servici problem
9/1/2025 13:00:45,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo informático ,"Buena actitud, equipo funcional y rápido ",Unidad de Informática,UDI,actitud equipo funcional rapido,"['actitud', 'equipo', 'funcional', 'rapido']",actitud equipo funcional rapir,actitud equip funcional rap
8/25/2025 11:32:20,Felicitación,Felicitación ,Foto con chango ,Excelente chango,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,excelente chango,"['excelente', 'chango']",excelente changuir,excelent chang
8/25/2025 11:32:23,Felicitación,Felicitaciones ,Tomarse una foto con un chango,Me gustaría felicitarlos por ese gran chango,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,gustaria felicitarlos chango,"['gustaria', 'felicitarlos', 'chango']",gustario felicitarlo changuir,gustari felicit chang
8/25/2025 11:35:00,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Actividad,Se deben incorporar más materias a las clases virtuales,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,incorporar mas materias clases virtuales,"['incorporar', 'mas', 'materias', 'clases', 'virtuales']",incorporar materia clase virtual,incorpor mas materi clas virtual
8/25/2025 11:36:14,Felicitación,Actividad curricular ,Clase,Buena actividad para integrar al grupo y los equipos.,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,actividad integrar grupo equipos,"['actividad', 'integrar', 'grupo', 'equipos']",actividad integrar grupo equipo,activ integr grup equip
